T,k1,k2,k4,k6,k12
1.565000000000000835e+00,3.714381822672587763e-01,5.968375010567686934e-01,8.034287416980316898e-01,8.253060191065758611e-01,7.999548556303364144e-01
1.570000000000000728e+00,3.703083023554045172e-01,5.955527143242104193e-01,8.044203467294512855e-01,8.333158710782666567e-01,8.070666705650713091e-01
1.575000000000000622e+00,3.691721426057893995e-01,5.942267436109818224e-01,8.051468963043988403e-01,8.410539899528227670e-01,8.143398415094708076e-01
1.580000000000000737e+00,3.680299672215172069e-01,5.928606753879964719e-01,8.056098919961843796e-01,8.484258056418174654e-01,8.217917856079286487e-01
1.585000000000000853e+00,3.668820353375237264e-01,5.914555955000014853e-01,8.058115802123126947e-01,8.553327498017632147e-01,8.294433490019242905e-01
1.590000000000000746e+00,3.657285998448502329e-01,5.900125761892919263e-01,8.057549246753841210e-01,8.616753698165173780e-01,8.373197113664692104e-01
1.595000000000000639e+00,3.645699097365452945e-01,5.885326841292839450e-01,8.054435817195230163e-01,8.673569008099684119e-01,8.454518547951210827e-01
1.600000000000000755e+00,3.634062107238379968e-01,5.870169786703629544e-01,8.048818628481062554e-01,8.722870784794172216e-01,8.538789156631314547e-01
1.605000000000000870e+00,3.622377401635292760e-01,5.854665072080326160e-01,8.040746931980984336e-01,8.763859199978356607e-01,8.626518441245960567e-01
1.610000000000000764e+00,3.610647365492882233e-01,5.838823097659153749e-01,8.030275762083154412e-01,8.795872727040969785e-01,8.718388160255945429e-01
1.615000000000000657e+00,3.598874262322750428e-01,5.822654161413700624e-01,8.017465495857581947e-01,8.818417597056265045e-01,8.815342096890613766e-01
1.620000000000000773e+00,3.587060379528497212e-01,5.806168444433271736e-01,8.002381331184698077e-01,8.831189471703031479e-01,8.918771788302142234e-01
1.625000000000000888e+00,3.575207934702897550e-01,5.789376024967211043e-01,7.985092923545882293e-01,8.834085562792198809e-01,9.030905462892319102e-01
1.630000000000000782e+00,3.563319081534290222e-01,5.772286885563640002e-01,7.965673815957257098e-01,8.827205790695740184e-01,9.156068806714938724e-01
1.635000000000000675e+00,3.551395966672201143e-01,5.754910855060305641e-01,7.944200955467555225e-01,8.810843639417423878e-01,9.313376102559892677e-01
1.640000000000000790e+00,3.539440663846706303e-01,5.737257695237476529e-01,7.920754291035340122e-01,8.785467464456080400e-01,9.498133310614781388e-01
1.645000000000000906e+00,3.527455234630940684e-01,5.719336944409739720e-01,7.895416144254601143e-01,8.751693972142154943e-01,9.357737769699620012e-01
1.650000000000000799e+00,3.515441665769005741e-01,5.701158142912280402e-01,7.868270897826161736e-01,8.710256445443325113e-01,9.179560101046929654e-01
1.655000000000000693e+00,3.503401926641115938e-01,5.682730625478085162e-01,7.839404376697172161e-01,8.661970125978251112e-01,9.031466200337683325e-01
1.660000000000000808e+00,3.491337935646046109e-01,5.664063582644377481e-01,7.808903501560497951e-01,8.607697499085635862e-01,8.899846159504681831e-01
1.665000000000000924e+00,3.479251574045607587e-01,5.645166108569913410e-01,7.776855795538222260e-01,8.548315504952612720e-01,8.779223843402578220e-01
1.670000000000000817e+00,3.467144688951153131e-01,5.626047190454567248e-01,7.743349019206928752e-01,8.484686565424230942e-01,8.666749620056539705e-01
1.675000000000000711e+00,3.455019066622712631e-01,5.606715586248258720e-01,7.708470736000898604e-01,8.417634538127054533e-01,8.560701244331173632e-01
